sample_id,file_name,y_true,hard_negative,severity_name,test_count,errors,fp,fn,cumulative_fixed_errors,oracle_accuracy_if_fixed_through_rank,rank
target100__大电池短路数据__0.1ohm_cc_6,0.1ohm cc 6.xlsx,1,0,ESC-0.1ohm,6,0,0,0,45,1.0,57
target100__大电池短路数据__0.1ohm_cc_9,0.1ohm cc 9.xlsx,1,0,ESC-0.1ohm,6,0,0,0,45,1.0,58
target100__大电池短路数据__0.1Ω_10,0.1Ω 10.xlsx,1,0,ESC-0.1ohm,6,0,0,0,45,1.0,59
target100__大电池短路数据__0.1Ω_3_cc,0.1Ω 3 cc.xlsx,1,0,ESC-0.1ohm,6,0,0,0,45,1.0,60
target100__大电池短路数据__0.1Ω_5,0.1Ω 5.xlsx,1,0,ESC-0.1ohm,6,0,0,0,45,1.0,61
target100__大电池短路数据__0.1Ω_5_difficult,0.1Ω 5 difficult.xlsx,1,0,ESC-0.1ohm,6,0,0,0,45,1.0,62
target100__大电池短路数据__0.1Ω_9_cc,0.1Ω 9 cc.xlsx,1,0,ESC-0.1ohm,6,0,0,0,45,1.0,63
target100__大电池短路数据__10ohm_cc_10,10ohm cc 10.xlsx,1,0,ESC-10ohm,6,0,0,0,45,1.0,64
target100__大电池短路数据__10ohm_cc_2,10ohm cc 2.xlsx,1,0,ESC-10ohm,6,0,0,0,45,1.0,65
target100__大电池短路数据__10ohm_cc_8,10ohm cc 8.xlsx,1,0,ESC-10ohm,6,0,0,0,45,1.0,66
target100__大电池短路数据__10Ω_1_cc,10Ω 1 cc.xlsx,1,0,ESC-10ohm,6,0,0,0,45,1.0,67
target100__大电池短路数据__10Ω_5,10Ω 5.xlsx,1,0,ESC-10ohm,6,0,0,0,45,1.0,68
target100__大电池短路数据__1Ω_10,1Ω 10.xlsx,1,0,ESC-1ohm,6,0,0,0,45,1.0,69
target100__大电池短路数据__1Ω_1_cc,1Ω 1 cc.xlsx,1,0,ESC-1ohm,6,0,0,0,45,1.0,70
target100__大电池短路数据__1Ω_2,1Ω 2.xlsx,1,0,ESC-1ohm,6,0,0,0,45,1.0,71
target100__大电池短路数据__1Ω_2_difficult,1Ω 2 difficult.xlsx,1,0,ESC-1ohm,6,0,0,0,45,1.0,72
target100__大电池短路数据__normal_13,normal 13.xlsx,0,0,,6,0,0,0,45,1.0,73
target100__大电池短路数据__normal_13_difficult,normal 13 difficult.xlsx,0,1,,6,0,0,0,45,1.0,74
target100__大电池短路数据__0.1ohm_cc_7,0.1ohm cc 7.xlsx,1,0,ESC-0.1ohm,5,0,0,0,45,1.0,75
target100__大电池短路数据__0.1Ω_1_difficult,0.1Ω 1 difficult.xlsx,1,0,ESC-0.1ohm,5,0,0,0,45,1.0,76
target100__大电池短路数据__0.1Ω_4,0.1Ω 4.xlsx,1,0,ESC-0.1ohm,5,0,0,0,45,1.0,77
target100__大电池短路数据__0.1Ω_4_cc,0.1Ω 4 cc.xlsx,1,0,ESC-0.1ohm,5,0,0,0,45,1.0,78
target100__大电池短路数据__0.1Ω_4_difficult,0.1Ω 4 difficult.xlsx,1,0,ESC-0.1ohm,5,0,0,0,45,1.0,79
target100__大电池短路数据__0.1Ω_5_cc,0.1Ω 5 cc.xlsx,1,0,ESC-0.1ohm,5,0,0,0,45,1.0,80
target100__大电池短路数据__0.1Ω_6_cc,0.1Ω 6 cc.xlsx,1,0,ESC-0.1ohm,5,0,0,0,45,1.0,81
target100__大电池短路数据__0.1Ω_7_cc,0.1Ω 7 cc.xlsx,1,0,ESC-0.1ohm,5,0,0,0,45,1.0,82
target100__大电池短路数据__10ohm_cc_6,10ohm cc 6.xlsx,1,0,ESC-10ohm,5,0,0,0,45,1.0,83
target100__大电池短路数据__10ohm_cc_9,10ohm cc 9.xlsx,1,0,ESC-10ohm,5,0,0,0,45,1.0,84
target100__大电池短路数据__10Ω_6,10Ω 6.xlsx,1,0,ESC-10ohm,5,0,0,0,45,1.0,85
target100__大电池短路数据__1Ω_1,1Ω 1.xlsx,1,0,ESC-1ohm,5,0,0,0,45,1.0,86
target100__大电池短路数据__1Ω_1_difficult,1Ω 1 difficult.xlsx,1,0,ESC-1ohm,5,0,0,0,45,1.0,87
target100__大电池短路数据__1Ω_4_difficult,1Ω 4 difficult.xlsx,1,0,ESC-1ohm,5,0,0,0,45,1.0,88
target100__大电池短路数据__normal_15,normal 15.xlsx,0,0,,5,0,0,0,45,1.0,89
target100__大电池短路数据__normal_15_difficult,normal 15 difficult.xlsx,0,1,,5,0,0,0,45,1.0,90
target100__大电池短路数据__normal_8,normal 8.xlsx,0,0,,5,0,0,0,45,1.0,91
target100__大电池短路数据__normal_8_difficult,normal 8 difficult.xlsx,0,1,,5,0,0,0,45,1.0,92
target100__大电池短路数据__0.01ohmcc1,0.01ohmcc1.xlsx,1,0,ESC-0.01ohm,4,0,0,0,45,1.0,93
target100__大电池短路数据__0.01ohmcc7,0.01ohmcc7.xlsx,1,0,ESC-0.01ohm,4,0,0,0,45,1.0,94
target100__大电池短路数据__0.01ohmcc9,0.01ohmcc9.xlsx,1,0,ESC-0.01ohm,4,0,0,0,45,1.0,95
target100__大电池短路数据__0.1ohm_cc_8,0.1ohm cc 8.xlsx,1,0,ESC-0.1ohm,4,0,0,0,45,1.0,96
target100__大电池短路数据__10ohm_cc_5,10ohm cc 5.xlsx,1,0,ESC-10ohm,4,0,0,0,45,1.0,97
target100__大电池短路数据__10Ω_1_difficult,10Ω 1 difficult.xlsx,1,0,ESC-10ohm,4,0,0,0,45,1.0,98
target100__大电池短路数据__1ohmcc10,1ohmcc10.xlsx,1,0,ESC-1ohm,4,0,0,0,45,1.0,99
target100__大电池短路数据__1ohmcc5,1ohmcc5.xlsx,1,0,ESC-1ohm,4,0,0,0,45,1.0,100
target100__大电池短路数据__1ohmcc7,1ohmcc7.xlsx,1,0,ESC-1ohm,4,0,0,0,45,1.0,101
target100__大电池短路数据__normal_1,normal 1.xlsx,0,0,,4,0,0,0,45,1.0,102
target100__大电池短路数据__normal_10_difficult,normal 10 difficult.xlsx,0,1,,4,0,0,0,45,1.0,103
target100__大电池短路数据__normal_6,normal 6.xlsx,0,0,,4,0,0,0,45,1.0,104
target100__大电池短路数据__normal_7,normal 7.xlsx,0,0,,4,0,0,0,45,1.0,105
target100__大电池短路数据__normal_7_difficult,normal 7 difficult.xlsx,0,1,,4,0,0,0,45,1.0,106
target100__大电池短路数据__0.01ohmcc4,0.01ohmcc4.xlsx,1,0,ESC-0.01ohm,3,0,0,0,45,1.0,107
target100__大电池短路数据__0.01ohmcc6,0.01ohmcc6.xlsx,1,0,ESC-0.01ohm,3,0,0,0,45,1.0,108
target100__大电池短路数据__0.01ohmcc8,0.01ohmcc8.xlsx,1,0,ESC-0.01ohm,3,0,0,0,45,1.0,109
target100__大电池短路数据__0.01Ω_4,0.01Ω 4.xlsx,1,0,ESC-0.01ohm,3,0,0,0,45,1.0,110
target100__大电池短路数据__0.01Ω_5,0.01Ω 5.xlsx,1,0,ESC-0.01ohm,3,0,0,0,45,1.0,111
target100__大电池短路数据__10Ω_2,10Ω 2.xlsx,1,0,ESC-10ohm,3,0,0,0,45,1.0,112
target100__大电池短路数据__10Ω_2_difficult,10Ω 2 difficult.xlsx,1,0,ESC-10ohm,3,0,0,0,45,1.0,113
target100__大电池短路数据__10Ω_9,10Ω 9.xlsx,1,0,ESC-10ohm,3,0,0,0,45,1.0,114
target100__大电池短路数据__1ohmcc2,1ohmcc2.xlsx,1,0,ESC-1ohm,3,0,0,0,45,1.0,115
target100__大电池短路数据__1ohmcc9,1ohmcc9.xlsx,1,0,ESC-1ohm,3,0,0,0,45,1.0,116
target100__大电池短路数据__1Ω_5,1Ω 5.xlsx,1,0,ESC-1ohm,3,0,0,0,45,1.0,117
target100__大电池短路数据__1Ω_5_difficult,1Ω 5 difficult.xlsx,1,0,ESC-1ohm,3,0,0,0,45,1.0,118
target100__大电池短路数据__1Ω_6,1Ω 6.xlsx,1,0,ESC-1ohm,3,0,0,0,45,1.0,119
target100__大电池短路数据__1Ω_6_difficult,1Ω 6 difficult.xlsx,1,0,ESC-1ohm,3,0,0,0,45,1.0,120
target100__大电池短路数据__1Ω_7,1Ω 7.xlsx,1,0,ESC-1ohm,3,0,0,0,45,1.0,121
target100__大电池短路数据__1Ω_7_difficult,1Ω 7 difficult.xlsx,1,0,ESC-1ohm,3,0,0,0,45,1.0,122
target100__大电池短路数据__normal_5,normal 5.xlsx,0,0,,3,0,0,0,45,1.0,123
target100__大电池短路数据__normal_5_difficult,normal 5 difficult.xlsx,0,1,,3,0,0,0,45,1.0,124
target100__大电池短路数据__0.01ohmcc3,0.01ohmcc3.xlsx,1,0,ESC-0.01ohm,2,0,0,0,45,1.0,125
target100__大电池短路数据__0.1Ω_2_difficult,0.1Ω 2 difficult.xlsx,1,0,ESC-0.1ohm,2,0,0,0,45,1.0,126
target100__大电池短路数据__10Ω_7,10Ω 7.xlsx,1,0,ESC-10ohm,2,0,0,0,45,1.0,127
target100__大电池短路数据__normal_14_difficult,normal 14 difficult.xlsx,0,1,,2,0,0,0,45,1.0,128
target100__大电池短路数据__0.01ohmcc10,0.01ohmcc10.xlsx,1,0,ESC-0.01ohm,1,0,0,0,45,1.0,129
target100__大电池短路数据__0.1Ω_2_cc,0.1Ω 2 cc.xlsx,1,0,ESC-0.1ohm,1,0,0,0,45,1.0,130
target100__大电池短路数据__10ohm_cc_4,10ohm cc 4.xlsx,1,0,ESC-10ohm,1,0,0,0,45,1.0,131
